SampleID,S884 ,S865 ,S847 ,S578 ,S573 ,S402 ,S339 ,S329 ,S2971 ,S2967 ,S2927 ,S2883 ,S2846 ,S2817 ,S2726 ,S2680 ,S2663 ,S2632 ,S2627 ,S2608 ,S2601 ,S2600 ,S2593 ,S2527 ,S2468 ,S2452 ,S2429 ,S2345 ,S2289 ,S2270 ,S2269 ,S2221 ,S2216 ,S2148 ,S2146 ,S201 ,S1972 ,S1969 ,S1922 ,S1914 ,S179 ,S1708 ,S1531 ,S134 ,S117 
S884 ,0,0.250940464,0.337110889,0.399107934,0.423009899,0.276425471,0.339445565,0.256468519,0.321433387,0.243883018,0.352806203,0.259435167,0.428291018,0.682537203,0.468789769,0.201222889,0.27513807,0.255001456,0.247678875,0.308067266,0.611602833,0.510931204,0.415273361,0.161314228,0.320826222,0.136922507,0.28065343,0.417090658,0.517823465,0.359921673,0.197681875,0.241779894,0.34927479,0.244598538,0.314914027,0.216181354,0.459179554,0.304804617,0.182287214,0.31629264,0.172747887,0.317738815,0.335155587,0.170837762,0.182408118
S865 ,0.250940464,0,0.42919376,0.325576131,0.480352626,0.349994971,0.39476667,0.366562535,0.403870016,0.310784901,0.317622025,0.353650867,0.426473127,0.694118854,0.380730541,0.305159355,0.344824322,0.292156033,0.337889563,0.376614188,0.594507697,0.50278514,0.420841905,0.270796722,0.414785526,0.233380483,0.378646972,0.48459824,0.534324575,0.413267883,0.288777658,0.31328599,0.410105799,0.305883877,0.409593386,0.279895614,0.51433422,0.352966364,0.261926174,0.396684315,0.300880268,0.390045149,0.329105666,0.229639013,0.264362837
S847 ,0.337110889,0.42919376,0,0.578778498,0.213497255,0.157091202,0.184706605,0.174359764,0.123109032,0.356041026,0.533976712,0.313733319,0.623142203,0.822862539,0.651481788,0.256211685,0.210068506,0.439796054,0.282569222,0.237419873,0.733960691,0.72436481,0.620038448,0.281344589,0.11268947,0.350013729,0.202553695,0.191628276,0.713312705,0.305253103,0.237661509,0.288313421,0.152786296,0.371404124,0.129563052,0.225698265,0.244839538,0.372380491,0.383398158,0.164829358,0.293960632,0.236318346,0.523475308,0.290615409,0.333164413
S578 ,0.399107934,0.325576131,0.578778498,0,0.620726798,0.49326488,0.572727029,0.515774837,0.572939896,0.452809255,0.220860027,0.491788786,0.376968443,0.643892357,0.255607637,0.466118457,0.530015745,0.406341101,0.50388065,0.521619748,0.593677133,0.42858112,0.299266034,0.398343026,0.578610722,0.388793094,0.551495165,0.634724172,0.426553803,0.538492877,0.472638869,0.485548808,0.599886271,0.424368436,0.555416369,0.427269887,0.644176254,0.544937911,0.422145035,0.561500615,0.447168348,0.541763917,0.266665482,0.385244052,0.390928151
S573 ,0.423009899,0.480352626,0.213497255,0.620726798,0,0.27781729,0.136132335,0.275322267,0.232945769,0.388640625,0.599518846,0.404780787,0.617391907,0.885605476,0.647084421,0.362153014,0.326721902,0.424465585,0.325821422,0.371243445,0.775296785,0.775331741,0.683181181,0.389608373,0.225534917,0.438669249,0.312502871,0.140702178,0.765871342,0.19997806,0.335318994,0.387902983,0.255812633,0.320432221,0.267877372,0.319301737,0.089857503,0.443220177,0.482087673,0.287485171,0.390700329,0.282203575,0.588838185,0.400354769,0.421425451
S402 ,0.276425471,0.349994971,0.157091202,0.49326488,0.27781729,0,0.22986668,0.127491513,0.172287039,0.28422462,0.452058879,0.2576613,0.546141481,0.773726562,0.566418716,0.190106045,0.209625062,0.395175995,0.2301463,0.198331139,0.693343454,0.642027251,0.522327892,0.223743683,0.172073426,0.276259892,0.186745613,0.254363276,0.645293291,0.255639294,0.167156915,0.269215657,0.217763929,0.302787476,0.133587849,0.144608074,0.305110318,0.312498346,0.310435776,0.159879105,0.255898015,0.216968362,0.468577207,0.234752017,0.279303696
S339 ,0.339445565,0.39476667,0.184706605,0.572727029,0.136132335,0.22986668,0,0.213869779,0.178254599,0.32898203,0.545520159,0.348265579,0.570976048,0.831066776,0.604604754,0.276939506,0.22163091,0.371358786,0.270246134,0.311153222,0.722295682,0.727857039,0.635583821,0.327154223,0.178114911,0.367393233,0.248193307,0.150922095,0.713920686,0.195124302,0.239713869,0.311506819,0.198706857,0.274958959,0.223001044,0.263682997,0.174615696,0.392304337,0.400378726,0.248446268,0.30540909,0.239194572,0.524093317,0.317127388,0.356873447
S329 ,0.256468519,0.366562535,0.174359764,0.515774837,0.275322267,0.127491513,0.213869779,0,0.154532348,0.286080069,0.451979825,0.249574982,0.540934751,0.7377841,0.578760135,0.165739154,0.19046466,0.374306936,0.211840807,0.202600958,0.673270967,0.622209902,0.522167692,0.216826234,0.164010949,0.284656294,0.138480291,0.265364417,0.622363875,0.249320485,0.176447065,0.233950112,0.211981248,0.311874377,0.136791413,0.167508415,0.310257589,0.317978011,0.314250708,0.148104824,0.225683189,0.205319801,0.422715666,0.240355529,0.26133498
S2971 ,0.321433387,0.403870016,0.123109032,0.572939896,0.232945769,0.172287039,0.178254599,0.154532348,0,0.333205259,0.536304161,0.276438413,0.628447326,0.822747711,0.648469518,0.228751948,0.193721518,0.397959307,0.242542693,0.226593069,0.69480837,0.699899007,0.605743094,0.279627863,0.089435368,0.31004179,0.140429601,0.206453584,0.705562235,0.291712993,0.21519282,0.284660418,0.135734279,0.356130809,0.15892814,0.22457485,0.27107234,0.351650197,0.370201668,0.140246572,0.292895837,0.189113233,0.512641936,0.292422137,0.32122967
S2967 ,0.243883018,0.310784901,0.356041026,0.452809255,0.388640625,0.28422462,0.32898203,0.286080069,0.333205259,0,0.448812578,0.199321178,0.442501508,0.687612974,0.515168566,0.247878556,0.28238811,0.269251664,0.178389983,0.236111364,0.580302282,0.567302812,0.504698046,0.22578982,0.346007975,0.27011933,0.277633557,0.396967577,0.588186897,0.322803393,0.229825457,0.306904593,0.343041236,0.199467883,0.326146995,0.258750398,0.402941185,0.316095567,0.239702928,0.295432119,0.247641544,0.262230727,0.423492116,0.248908232,0.244950502
S2927 ,0.352806203,0.317622025,0.533976712,0.220860027,0.599518846,0.452058879,0.545520159,0.451979825,0.536304161,0.448812578,0,0.447214254,0.341147305,0.619499517,0.276533581,0.381625476,0.489446638,0.388066818,0.468092085,0.515744063,0.59569586,0.445845713,0.285840544,0.373107631,0.538752102,0.375509134,0.488638114,0.595275574,0.423564792,0.508202848,0.442604022,0.45028714,0.570687106,0.401843961,0.516372721,0.386071317,0.618957699,0.502064411,0.393668258,0.52270307,0.369314822,0.520679653,0.261277282,0.336563326,0.342224973
S2883 ,0.259435167,0.353650867,0.313733319,0.491788786,0.404780787,0.2576613,0.348265579,0.249574982,0.276438413,0.199321178,0.447214254,0,0.525094392,0.744604231,0.553492993,0.233443881,0.303085211,0.325138768,0.194562863,0.168056006,0.607410401,0.6103224,0.504123432,0.226178122,0.310187907,0.272905058,0.20084279,0.404464395,0.615391208,0.324531919,0.23787239,0.290016017,0.311852031,0.248328975,0.284290041,0.228630801,0.42878417,0.274743772,0.262761912,0.255209595,0.235021016,0.228785226,0.419798566,0.2340544,0.233654304
